Deep	Facts	Queries	Prcd	Name	Time	Hits
2	25	500	166	LRU	25	475
2	25	500	166	LIFO	24	475
2	25	1000	10	Simple	43	0
2	25	1000	10	LRU	51	439
2	25	1000	10	LIFO	50	408
2	25	1000	100	Simple	41	0
2	25	1000	100	LRU	51	975
2	25	1000	100	LIFO	55	975
2	25	1000	333	Simple	42	0
2	25	1000	333	LRU	51	975
2	25	1000	333	LIFO	54	975
2	25	2500	25	Simple	131	0
2	25	2500	25	LRU	147	2475
2	25	2500	25	LIFO	150	2475
2	25	2500	250	Simple	127	0
2	25	2500	250	LRU	151	2475
2	25	2500	250	LIFO	156	2475
2	25	2500	833	Simple	130	0
2	25	2500	833	LRU	147	2475
2	25	2500	833	LIFO	160	2475
2	100	100	1	Simple	14	0
2	100	100	1	LRU	13	0
2	100	100	1	LIFO	13	0
2	100	100	10	Simple	12	0
2	100	100	10	LRU	14	8
2	100	100	10	LIFO	13	7
2	100	100	33	Simple	15	0
2	100	100	33	LRU	15	25
2	100	100	33	LIFO	15	25
2	100	500	5	Simple	65	0
2	100	500	5	LRU	66	29
2	100	500	5	LIFO	65	23
2	100	500	50	Simple	64	0
2	100	500	50	LRU	82	255
2	100	500	50	LIFO	74	254
2	100	500	166	Simple	64	0
2	100	500	166	LRU	81	400
2	100	500	166	LIFO	78	400
2	100	1000	10	Simple	127	0
2	100	1000	10	LRU	144	111
2	100	1000	10	LIFO	137	99
2	100	1000	100	Simple	133	0
2	100	1000	100	LRU	160	900
2	100	1000	100	LIFO	159	900
2	100	1000	333	Simple	132	0
2	100	1000	333	LRU	165	900
2	100	1000	333	LIFO	165	900
2	100	2500	25	Simple	360	0
2	100	2500	25	LRU	419	651
2	100	2500	25	LIFO	389	615
2	100	2500	250	Simple	348	0
2	100	2500	250	LRU	424	2400
2	100	2500	250	LIFO	436	2400
2	100	2500	833	Simple	348	0
2	100	2500	833	LRU	426	2400
2	100	2500	833	LIFO	442	2400
2	500	100	1	Simple	62	0
2	500	100	1	LRU	60	3
2	500	100	1	LIFO	59	2
2	500	100	10	Simple	58	0
2	500	100	10	LRU	60	2
2	500	100	10	LIFO	62	2
2	500	100	33	Simple	59	0
2	500	100	33	LRU	63	5
2	500	100	33	LIFO	61	5
2	500	500	5	Simple	313	0
2	500	500	5	LRU	322	6
2	500	500	5	LIFO	301	5
2	500	500	50	Simple	314	0
2	500	500	50	LRU	330	53
